date,branch,product,mass,materials,lifeCycleStep,lifeCycleStepCountry,impact,value,norm_value_ecs
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,etf,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,etf-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,fru,31.15147058,33.64136272
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,fwe,7.35E-05,1.08424261
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,htc,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,htc-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,htn,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,htn-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,ior,0.02875219472,0.2881923521
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,ldu,0.635915625,0.05199078811
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,mru,3.17E-05,31.73011157
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,ozd,2.68E-05,26.67283217
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,pco,0.01450812042,14.30956193
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,pma,6.98E-07,88.74615145
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,swe,0.008424649006,10.77585418
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,tre,0.07289280517,12.90795056
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,wtu,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,ecs,325.6962951,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,pef,402.427015,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,acd,0.007080321,6.66374159
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,cch,0.68860065,21.94418389
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Confection,IN,etf,0,0
